key,symbol
00108J109|US00108J1097,ACMR
00191U102|US00191U1025,EFOR
002121101|US0021211018,ATEN
00401C108|US00401C1080,ACIA
004498101|US0044981019,ACIW
00486H105|US00486H1059,ADTN
00676P107|US00676P1075,ADEA
00724F101|US00724F1012,ADBE
00760J108|US00760J1088,AEHR
007903107|US0079031078,AMD
007973100|US0079731008,AEIS
00827B106|US00827B1061,AFRM
00835Q202|US00835Q2021,AEVA
00847J105|US00847J1051,AGYS
009066101|US0090661010,ABNB
00971T101|US00971T1016,AKAM
011642105|US0116421050,ALRM
015351109|US0153511094,ALXN
016255101|US0162551016,ALGN
01644J108|US01644J1088,ALKT
01749D105|US01749D1054,ALGM
018581108|US0185811082,BFH
02043Q107|US02043Q1076,ALNY
02079K107|US02079K1079,GOOG
02079K305|US02079K3059,GOOGL
023135106|US0231351067,AMZN
02376R102|US02376R1023,AAL
025537101|US0255371017,AEP
031162100|US0311621009,AMGN
031652100|US0316521006,AMKR
032095101|US0320951017,APH
03213A104|US03213A1043,AMPL
032654105|US0326541051,ADI
03782L101|US03782L1017,APPN
037833100|US0378331005,AAPL
03783C100|US03783C1009,APPF
038169207|US0381692070,APLD
038222105|US0382221051,AMAT
03823U102|US03823U1025,AAOI
03831W108|US03831W1080,APP
040413205|US0404132054,ANET
042068205|US0420682058,ARM
04206A101|US04206A1016,ARLO
042735100|US0427351004,ARW
04342Y104|US04342Y1047,ASAN
04626A103|US04626A1034,ALAB
049468101|US0494681010,TEAM
051774107|US0517741072,AUR
052769106|US0527691069,ADSK
053015103|US0530151036,ADP
053604104|US0536041041,AVPT
053807103|US0538071038,AVT
054540208|US0545402085,ACLS
05464C101|US05464C1018,AXON
056525108|US0565251081,BMI
056752108|US0567521085,BIDU
05722G100|US05722G1004,BKR
077347201|US0773472016,BELFA
077347300|US0773473006,BELFB
077454106|US0774541066,BDC
08160H101|US08160H1014,BHE
08265T208|US08265T2087,BSY
08975B109|US08975B1098,BBAI
08975P108|US08975P1084,CMRC
090043100|US0900431000,BILL
09061G101|US09061G1013,BMRN
09062X103|US09062X1037,BIIB
09175A206|US09175A2069,BMNR
09227Q100|US09227Q1004,BLKB
09239B109|US09239B1098,BL
09352U108|US09352U1088,BLND
09857L108|US09857L1089,BKNG
099502106|US0995021062,BAH
10316T104|US10316T1043,BOX
10576N102|US10576N1028,BRZE
11133T103|US11133T1034,BR
11135F101|US11135F1012,AVGO
114340102|US1143401024,AZTA
12468P104|US12468P1049,AI
12508E101|US12508E1010,CDK
12510Q100|US12510Q1004,CCC
12514G108|US12514G1085,CDW
12571T100|US12571T1007,CCMP
126327105|US1263271058,LAW
12634H200|US12634H2004,PMTS
126408103|US1264081035,CSX
126501105|US1265011056,CTS
127190304|US1271903049,CACI
127387108|US1273871087,CDNS
13100M509|US13100M5094,CALX
14808P109|US14808P1093,CASS
151020104|US1510201049,CELG
156727109|US1567271093,CRNC
15675D103|US15675D1037,CBRS
157210105|US1572101053,CEVA
16119P108|US16119P1084,CHTR
171779309|US1717793095,CIEN
17253J106|US17253J1060,CIFR
172573107|US1725731079,CRCL
172755100|US1727551004,CRUS
17275R102|US17275R1023,CSCO
172908105|US1729081059,CTAS
18452B209|US18452B2097,CLSK
18467V109|US18467V1098,YOU
18482P103|US18482P1030,CLFD
185123106|US1851231068,
18914U100|US18914U1007,CLDR
18915M107|US18915M1071,NET
192422103|US1924221039,CGNX
192446102|US1924461023,CTSH
19247G107|US19247G1076,COHR
192576106|US1925761066,COHU
19260Q107|US19260Q1076,COIN
20030N101|US20030N1019,CMCSA
20337X109|US20337X1090,VISN
204166102|US2041661024,CVLT
20459V105|US20459V1052,GPGI
205826209|US2058262096,CMTL
20602D101|US20602D1019,CNXC
206787103|US2067871036,CNDT
20848V105|US20848V1052,CCSI
21037T109|US21037T1097,CEG
217204106|US2172041061,CPRT
21871D103|US21871D1037,CLGX
21873S108|US21873S1087,CRWV
21874A106|US21874A1060,CORZ
21925Y103|US21925Y1038,CSOD
219350105|US2193501051,GLW
22041X102|US22041X1028,CRSR
22160K105|US22160K1051,COST
22160N109|US22160N1090,CSGP
224441105|US2244411052,CXT
22788C105|US22788C1053,CRWD
23355L106|US23355L1061,DXC
233912104|US2339121046,DJCO
234264109|US2342641097,DAKT
23804L103|US23804L1035,DDOG
24703L202|US24703L2025,DELL
252131107|US2521311074,DXCM
25278X109|US25278X1090,FANG
253651202|US2536512021,DBD
253798102|US2537981027,DGII
25382K100|US25382K1007,DMRC
25400W102|US25400W1027,APPS
25402D102|US25402D1028,DOCN
254543101|US2545431015,DIOD
256163106|US2561631068,DOCU
25659T107|US25659T1079,DLB
256746108|US2567461080,DLTR
257554105|US2575541055,HUCK
25809K105|US25809K1051,DASH
25862V105|US25862V1052,DV
26210C104|US26210C1045,DBX
26740W109|US26740W1099,QBTS
268150109|US2681501092,DT
277461406|US2774614067,KODK
278642103|US2786421030,EBAY
278768106|US2787681061,ECHO
282914100|US2829141009,EGHT
29355A107|US29355A1079,ENPH
29362U104|US29362U1043,ENTG
29414B104|US29414B1044,EPAM
294268107|US2942681071,PLUS
298736109|US2987361092,EEFT
30040P103|PR30040P1032,EVTC
30049H102|US30049H1023,EVLV
30161N101|US30161N1019,EXC
302081104|US3020811044,EXLS
30209R106|US30209R1068,EXOD
30212P303|US30212P3038,EXPE
30219Q106|US30219Q1067,EXFY
30226D106|US30226D1063,EXTR
302445101|US3024451011,FLIR
302492103|US3024921039,FLYW
30303M102|US30303M1027,META
303250104|US3032501047,FICO
31188V100|US31188V1008,FSLY
311900104|US3119001044,FAST
315616102|US3156161024,FFIV
31620M106|US31620M1062,FIS
316841105|US3168411052,FIG
336433107|US3364331070,FSLR
