date,members,with_price,ranked
2010-01-29,502,338,0
2010-02-26,502,339,0
2010-03-31,502,339,0
2010-04-30,502,339,0
2010-05-28,502,339,0
2010-06-30,502,340,0
2010-07-30,502,341,0
2010-08-31,502,341,0
2010-09-30,502,341,0
2010-10-29,502,341,0
2010-11-30,501,341,0
2010-12-31,501,343,0
2011-01-31,501,343,343
2011-02-28,500,343,343
2011-03-31,500,344,344
2011-04-29,500,345,345
2011-05-31,500,345,345
2011-06-30,500,346,345
2011-07-29,500,347,346
2011-08-31,500,347,346
2011-09-30,500,348,347
2011-10-31,500,349,347
2011-11-30,500,349,347
2011-12-30,500,353,350
2012-01-31,500,352,349
2012-02-29,500,352,349
2012-03-30,500,353,350
2012-04-30,500,355,351
2012-05-31,500,355,351
2012-06-29,500,357,354
2012-07-31,500,358,355
2012-08-31,500,358,355
2012-09-28,500,360,356
2012-10-31,500,361,359
2012-11-30,500,361,359
2012-12-31,500,364,363
2013-01-31,500,365,363
2013-02-28,500,366,364
2013-03-28,500,366,364
2013-04-30,500,367,366
2013-05-31,500,368,367
2013-06-28,500,369,367
2013-07-31,500,370,367
2013-08-30,500,370,367
2013-09-30,500,372,369
2013-10-31,500,373,370
2013-11-29,500,374,371
2013-12-31,500,375,371
2014-01-31,500,376,373
2014-02-28,500,376,374
2014-03-31,500,376,374
2014-04-30,501,377,375
2014-05-30,501,379,376
2014-06-30,501,379,377
2014-07-31,501,381,379
2014-08-29,502,381,379
2014-09-30,502,382,380
2014-10-31,502,382,380
2014-11-28,502,381,380
2014-12-31,502,382,381
2015-01-30,502,383,382
2015-02-27,502,383,382
2015-03-31,503,387,386
2015-04-30,503,388,388
2015-05-29,503,388,388
2015-06-30,503,389,388
2015-07-31,503,393,390
2015-08-31,503,393,390
2015-09-30,506,395,392
2015-10-30,506,396,393
2015-11-30,506,398,394
2015-12-31,505,399,395
2016-01-29,505,399,396
2016-02-29,505,401,398
2016-03-31,505,403,400
2016-04-29,506,404,400
2016-05-31,506,409,405
2016-06-30,506,410,406
2016-07-29,506,413,410
2016-08-31,506,413,410
2016-09-30,506,417,414
2016-10-31,506,417,415
2016-11-30,506,416,414
2016-12-30,506,416,414
2017-01-31,506,417,415
2017-02-28,506,418,416
2017-03-31,506,421,420
2017-04-28,506,423,422
2017-05-31,506,423,422
2017-06-30,506,424,423
2017-07-31,506,427,427
2017-08-31,506,427,426
2017-09-29,506,428,427
2017-10-31,506,429,428
2017-11-30,506,430,429
2017-12-29,506,430,429
2018-01-31,506,431,430
2018-02-28,506,431,430
2018-03-29,506,433,432
2018-04-30,506,434,433
2018-05-31,506,434,433
2018-06-29,506,434,433
2018-07-31,506,435,435
2018-08-31,506,436,436
2018-09-28,506,436,436
2018-10-31,506,438,438
2018-11-30,506,439,439
2018-12-31,506,442,442
2019-01-31,506,442,442
2019-02-28,506,443,443
2019-03-29,506,445,443
2019-04-30,506,445,442
2019-05-31,506,445,442
2019-06-28,506,446,442
2019-07-31,506,448,444
2019-08-30,506,450,446
2019-09-30,506,451,447
2019-10-31,506,451,447
2019-11-29,506,452,448
2019-12-31,506,454,450
2020-01-31,506,455,451
2020-02-28,506,455,451
2020-03-31,506,456,455
2020-04-30,506,458,455
2020-05-29,506,459,457
2020-06-30,506,461,459
2020-07-31,506,461,459
2020-08-31,506,461,459
2020-09-30,506,460,458
2020-10-30,506,462,459
2020-11-30,506,462,459
2020-12-31,506,462,459
2021-01-29,506,464,461
2021-02-26,506,464,461
2021-03-31,506,464,464
2021-04-30,506,465,465
2021-05-28,506,466,466
2021-06-30,506,467,466
2021-07-30,506,468,467
2021-08-31,506,469,468
2021-09-30,506,468,467
2021-10-29,506,468,467
2021-11-30,506,468,467
2021-12-31,506,470,469
2022-01-31,506,471,470
2022-02-28,506,473,471
2022-03-31,506,474,472
2022-04-29,505,476,474
2022-05-31,505,476,475
2022-06-30,504,476,475
2022-07-29,504,476,475
2022-08-31,504,476,475
2022-09-30,504,476,475
2022-10-31,504,479,478
2022-11-30,504,480,479
2022-12-30,504,482,481
2023-01-31,504,482,481
2023-02-28,504,482,481
2023-03-31,504,484,483
2023-04-28,504,484,483
2023-05-31,504,485,484
2023-06-30,504,486,485
2023-07-31,504,486,485
2023-08-31,504,486,484
2023-09-29,504,486,484
2023-10-31,504,487,484
2023-11-30,504,487,484
2023-12-29,504,488,486
2024-01-31,504,488,486
2024-02-29,504,488,486
2024-03-28,504,488,486
2024-04-30,504,488,484
2024-05-31,504,489,486
2024-06-28,504,490,487
2024-07-31,504,490,487
2024-08-30,504,490,487
2024-09-30,505,491,487
2024-10-31,504,490,487
2024-11-29,504,491,488
2024-12-31,504,492,490
2025-01-31,504,492,490
2025-02-28,504,492,490
2025-03-31,504,492,492
2025-04-30,504,492,492
2025-05-30,504,493,493
2025-06-30,504,493,493
2025-07-31,504,496,496
2025-08-29,504,497,497
2025-09-30,504,497,497
2025-10-31,504,497,496
2025-11-28,504,498,495
2025-12-31,504,499,497
2026-01-30,504,499,497
2026-02-27,504,500,499
2026-03-31,503,499,498
2026-04-30,503,500,499
2026-05-29,503,501,500
2026-06-30,503,501,498
2026-07-31,503,502,498
2026-08-31,503,503,500
2026-09-23,503,503,500
