from,to,weight_gap,top5_same,top25_same,top5_weight_gap
2019-12-31,2020-03-31,5.084168155570926e-05,5,25,1.0785372576718744e-05
2020-03-31,2020-06-30,0.01649252423337582,5,25,0.0026024356326139406
2020-06-30,2020-09-30,0.0067668707491905025,5,24,0.0013471418853376743
2020-09-30,2020-12-31,0.06081952625143796,5,25,0.020662105272063074
2020-12-31,2021-03-31,0.0035509104053177373,5,25,0.001230330733221624
2021-03-31,2021-06-30,0.003273139302201579,5,25,0.0008428371541105706
2021-06-30,2021-09-30,0.017571304486788255,5,24,0.003901206486029773
2021-09-30,2021-12-31,0.04930144545446189,4,25,0.0222109545309832
2021-12-31,2022-03-31,0.011541952565422925,5,25,0.001982657836566225
2022-03-31,2022-06-30,0.0032975962902851525,5,25,0.0006604060144110371
2022-06-30,2022-09-30,0.002985486415579968,5,25,0.000794856433451948
2022-09-30,2022-12-31,0.06438250153876161,5,25,0.023673594790464245
2022-12-31,2023-03-31,0.0034586916723339887,5,25,0.0006877469573408866
2023-03-31,2023-06-30,0.008012210432236494,4,25,0.0007181536969747618
2023-06-30,2023-09-30,0.12178040470894465,5,25,0.04368714467989966
2023-09-30,2023-12-31,0.057158384624200816,4,25,0.020959178377631373
2023-12-31,2024-03-31,0.01638643971554429,5,24,0.002426591903764399
2024-03-31,2024-06-30,0.003521284783823101,5,25,0.001022191232007738
2024-06-30,2024-09-30,0.0025355676872832814,5,25,0.0004660079349885077
2024-09-30,2024-12-31,0.05092843657828061,5,24,0.019915849741449932
2024-12-31,2025-03-31,0.0030130396350082863,5,24,0.0007347540046216405
2025-03-31,2025-06-30,0.009262600164386205,5,25,0.0012485994410517294
2025-06-30,2025-09-30,0.005055823164009625,5,25,0.000960720649379028
2025-09-30,2025-12-31,0.055389888272134716,4,25,0.012117954634284507
