from,to,weight_gap,top5_same,top25_same,top5_weight_gap
2019-11-30,2020-02-29,0.0006379048606888968,5,25,0.00019007921154425705
2020-02-29,2020-05-31,0.005238179106248203,5,25,0.0018470799774526932
2020-05-31,2020-08-31,0.018594601365662697,5,25,0.006277041748899034
2020-08-31,2020-11-30,0.009125024736117274,5,24,0.0022241487234487406
2020-11-30,2021-02-28,0.006060645471765255,5,25,0.0021125282917011396
2021-02-28,2021-05-31,0.01468493554408404,5,25,0.003008411901290928
2021-05-31,2021-08-31,0.004855922138810829,5,24,0.0004264559289151714
2021-08-31,2021-11-30,0.011810824542224362,5,25,0.003085106692672127
2021-11-30,2022-02-28,0.009216431660941007,5,24,0.0025576588651046346
2022-02-28,2022-05-31,0.013561131060125652,5,25,0.006520114946309193
2022-05-31,2022-08-31,0.01402790534360158,5,25,0.005582363822277456
2022-08-31,2022-11-30,0.029856607462070153,5,25,0.014399539080639099
2022-11-30,2023-02-28,0.019333501083557712,5,25,0.010030167832789965
2023-02-28,2023-05-31,0.0010036737009849147,5,25,0.000360363050851532
2023-05-31,2023-08-31,0.14307642919497826,4,21,0.03870147457846935
2023-08-31,2023-11-30,0.03981455069379472,5,25,0.029142356710967512
2023-11-30,2024-02-29,0.037710471194589965,5,25,0.032095755812985446
2024-02-29,2024-05-31,0.07339513310311628,5,25,0.06253168355693389
2024-05-31,2024-08-31,0.006462312476839944,5,25,0.0030356069413380957
2024-08-31,2024-11-30,0.0319731712570675,5,24,0.01466724239533431
2024-11-30,2025-02-28,0.014858725519747283,5,25,0.013613972728932765
2025-02-28,2025-05-31,0.004023151191007184,5,25,0.0020841437527367272
2025-05-31,2025-08-31,0.04621202863168525,5,24,0.022322028701807328
2025-08-31,2025-11-30,0.02000298870382808,5,25,0.00758028071425668
