etf,top_n,when,date,rank,ticker,share_of_each_1000
QQQ,5,first purchase,2020-01-02,1,AAPL,298.0028670614061
QQQ,5,first purchase,2020-01-02,2,MSFT,274.77465403626564
QQQ,5,first purchase,2020-01-02,3,AMZN,209.24532824387708
QQQ,5,first purchase,2020-01-02,4,META,112.81112085637199
QQQ,5,first purchase,2020-01-02,5,GOOGL,105.16602980207941
QQQ,10,first purchase,2020-01-02,1,AAPL,219.92178550543392
QQQ,10,first purchase,2020-01-02,2,MSFT,202.77970183032335
QQQ,10,first purchase,2020-01-02,3,AMZN,154.4200116255315
QQQ,10,first purchase,2020-01-02,4,META,83.25296789339406
QQQ,10,first purchase,2020-01-02,5,GOOGL,77.61100178886933
QQQ,10,first purchase,2020-01-02,6,GOOG,77.42186210117842
QQQ,10,first purchase,2020-01-02,7,INTC,55.97675903296086
QQQ,10,first purchase,2020-01-02,8,CMCSA,43.89496478051822
QQQ,10,first purchase,2020-01-02,9,CSCO,43.74526712979137
QQQ,10,first purchase,2020-01-02,10,PEP,40.97567831199902
QQQ,15,first purchase,2020-01-02,1,AAPL,190.49188378810862
QQQ,15,first purchase,2020-01-02,2,MSFT,175.64375128581722
QQQ,15,first purchase,2020-01-02,3,AMZN,133.75554787136954
QQQ,15,first purchase,2020-01-02,4,META,72.1120676995036
QQQ,15,first purchase,2020-01-02,5,GOOGL,67.22510868791892
QQQ,15,first purchase,2020-01-02,6,GOOG,67.06127964604146
QQQ,15,first purchase,2020-01-02,7,INTC,48.48595718716676
QQQ,15,first purchase,2020-01-02,8,CMCSA,38.02094690453937
QQQ,15,first purchase,2020-01-02,9,CSCO,37.89128177191017
QQQ,15,first purchase,2020-01-02,10,PEP,35.49231893152022
QQQ,15,first purchase,2020-01-02,11,ADBE,29.733192664618702
QQQ,15,first purchase,2020-01-02,12,NVDA,26.818577016743188
QQQ,15,first purchase,2020-01-02,13,AMGN,26.676395498484993
QQQ,15,first purchase,2020-01-02,14,NFLX,26.40918515111248
QQQ,15,first purchase,2020-01-02,15,COST,24.182505895144914
QQQ,20,first purchase,2020-01-02,1,AAPL,171.9125522934494
QQQ,20,first purchase,2020-01-02,2,MSFT,158.51260944811764
QQQ,20,first purchase,2020-01-02,3,AMZN,120.70990721868854
QQQ,20,first purchase,2020-01-02,4,META,65.07872862010908
QQQ,20,first purchase,2020-01-02,5,GOOGL,60.668411603298516
QQQ,20,first purchase,2020-01-02,6,GOOG,60.520561373835335
QQQ,20,first purchase,2020-01-02,7,INTC,43.75695428424906
QQQ,20,first purchase,2020-01-02,8,CMCSA,34.31263260666601
QQQ,20,first purchase,2020-01-02,9,CSCO,34.195614162360265
QQQ,20,first purchase,2020-01-02,10,PEP,32.03063045519445
QQQ,20,first purchase,2020-01-02,11,ADBE,26.8332116684467
QQQ,20,first purchase,2020-01-02,12,NVDA,24.202868553471507
QQQ,20,first purchase,2020-01-02,13,AMGN,24.07455448986598
QQQ,20,first purchase,2020-01-02,14,NFLX,23.833406090771327
QQQ,20,first purchase,2020-01-02,15,COST,21.823902554872337
QQQ,20,first purchase,2020-01-02,16,PYPL,21.34713405471561
QQQ,20,first purchase,2020-01-02,17,AVGO,21.068768887420802
QQQ,20,first purchase,2020-01-02,18,TXN,20.155514459632546
QQQ,20,first purchase,2020-01-02,19,CHTR,17.510598324814517
QQQ,20,first purchase,2020-01-02,20,SBUX,17.451438850020377
QQQ,25,first purchase,2020-01-02,1,AAPL,160.40519078592584
QQQ,25,first purchase,2020-01-02,2,MSFT,147.90220388967552
QQQ,25,first purchase,2020-01-02,3,AMZN,112.62991235284531
QQQ,25,first purchase,2020-01-02,4,META,60.72253445807201
QQQ,25,first purchase,2020-01-02,5,GOOGL,56.60743213965411
QQQ,25,first purchase,2020-01-02,6,GOOG,56.46947860485752
QQQ,25,first purchase,2020-01-02,7,INTC,40.82798205563872
QQQ,25,first purchase,2020-01-02,8,CMCSA,32.015837739670175
QQQ,25,first purchase,2020-01-02,9,CSCO,31.906652193682273
QQQ,25,first purchase,2020-01-02,10,PEP,29.886586643125106
QQQ,25,first purchase,2020-01-02,11,ADBE,25.037069019423384
QQQ,25,first purchase,2020-01-02,12,NVDA,22.582793961777583
QQQ,25,first purchase,2020-01-02,13,AMGN,22.463068894709597
QQQ,25,first purchase,2020-01-02,14,NFLX,22.238062317537324
QQQ,25,first purchase,2020-01-02,15,COST,20.363069515902602
QQQ,25,first purchase,2020-01-02,16,PYPL,19.918214610265363
QQQ,25,first purchase,2020-01-02,17,AVGO,19.65848245474561
QQQ,25,first purchase,2020-01-02,18,TXN,18.80635880949013
QQQ,25,first purchase,2020-01-02,19,CHTR,16.33848621055353
QQQ,25,first purchase,2020-01-02,20,SBUX,16.283286711072243
QQQ,25,first purchase,2020-01-02,21,QCOM,15.798929749782497
QQQ,25,first purchase,2020-01-02,22,BKNG,13.480765530957505
QQQ,25,first purchase,2020-01-02,23,GILD,12.892142234185872
QQQ,25,first purchase,2020-01-02,24,MDLZ,12.436781197380078
QQQ,25,first purchase,2020-01-02,25,FISV,12.328677919069975
QQQ,50,first purchase,2020-01-02,1,AAPL,133.5872057956329
QQQ,50,first purchase,2020-01-02,2,MSFT,123.17458089623943
QQQ,50,first purchase,2020-01-02,3,AMZN,93.79942884955436
QQQ,50,first purchase,2020-01-02,4,META,50.57039405856068
QQQ,50,first purchase,2020-01-02,5,GOOGL,47.1432916213694
QQQ,50,first purchase,2020-01-02,6,GOOG,47.02840240143323
